player_id,player_name,team_id,team_abbreviation,age,gp,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,dd2,td3
243,Aaron McKie,1610612755,PHI,32.0,68,0.515,1126.0566666666666,61,142,0.43,20,62,0.323,10,16,0.625,20,152,172,103,31,48,17,11,116,0,152,11,0,0
1502,Adonal Foyle,1610612744,GSW,30.0,78,0.397,1700.9766666666667,156,311,0.502,0,0,0.0,40,72,0.556,165,264,429,56,58,26,159,21,201,1,352,-26,3,0
1559,Adrian Griffin,1610612741,CHI,30.0,69,0.551,658.3666666666667,58,161,0.36,2,9,0.222,33,44,0.75,52,94,146,53,30,43,4,9,78,0,151,40,0,0
1733,Al Harrington,1610612737,ATL,25.0,66,0.152,2546.4483333333333,453,986,0.459,16,74,0.216,236,351,0.672,145,316,461,208,204,85,16,74,249,0,1158,-513,12,0
2744,Al Jefferson,1610612738,BOS,20.0,71,0.549,1044.215,195,369,0.528,0,3,0.0,85,135,0.63,119,193,312,24,66,22,55,37,195,0,475,-44,3,0
673,Alan Henderson,1610612742,DAL,32.0,78,0.705,1196.38,116,220,0.527,0,2,0.0,41,76,0.539,164,184,348,21,49,29,37,28,149,0,273,-162,2,0
947,Allen Iverson,1610612755,PHI,30.0,75,0.547,3176.088333333333,771,1818,0.424,104,338,0.308,656,786,0.835,51,248,299,596,344,180,9,101,140,0,2302,12,24,0
2405,Amar'e Stoudemire,1610612756,PHX,22.0,80,0.75,2884.786666666667,747,1336,0.559,3,16,0.188,583,795,0.733,219,494,713,131,189,77,130,94,278,1,2080,606,27,0
2738,Andre Iguodala,1610612755,PHI,21.0,82,0.524,2680.8433333333332,269,546,0.493,47,142,0.331,156,210,0.743,89,375,464,246,139,138,48,23,204,0,741,-18,5,1
1889,Andre Miller,1610612743,DEN,29.0,82,0.598,2849.3,427,895,0.477,6,39,0.154,253,302,0.838,100,238,338,569,220,121,8,70,204,0,1113,174,13,0
2804,Andres Nocioni,1610612741,CHI,25.0,81,0.58,1895.4983333333332,241,601,0.401,25,97,0.258,170,222,0.766,69,317,386,122,135,37,34,40,208,1,677,-178,3,0
1712,Antawn Jamison,1610612764,WAS,29.0,68,0.559,2608.795,519,1189,0.437,71,208,0.341,225,296,0.76,160,359,519,154,118,55,16,42,151,0,1334,121,24,0
1853,Anthony Carter,1610612750,MIN,30.0,66,0.545,715.855,72,177,0.407,2,17,0.118,35,51,0.686,12,57,69,161,62,35,18,7,88,0,181,2,0,0
1533,Anthony Johnson,1610612754,IND,30.0,63,0.54,1756.1733333333334,203,456,0.445,41,108,0.38,85,113,0.752,32,147,179,302,96,59,15,25,144,0,532,25,3,0
952,Antoine Walker,1610612738,BOS,28.0,77,0.338,2965.4366666666665,581,1377,0.422,110,341,0.323,201,373,0.539,182,513,695,265,253,89,58,104,217,0,1473,-526,31,0
1498,Antonio Daniels,1610612760,SEA,30.0,75,0.667,2025.9416666666664,273,623,0.438,49,165,0.297,248,304,0.816,20,149,169,309,78,51,3,28,78,0,843,206,1,0
213,Antonio Davis,1610612741,CHI,36.0,72,0.569,1842.743333333333,193,419,0.461,0,0,0.0,115,152,0.757,152,276,428,80,96,27,41,28,147,0,501,5,4,0
686,Antonio McDyess,1610612765,DET,30.0,77,0.662,1805.085,307,598,0.513,0,1,0.0,126,192,0.656,177,305,482,71,93,46,52,35,204,0,740,5,6,0
1506,Austin Croshere,1610612754,IND,30.0,73,0.548,1826.325,188,497,0.378,45,174,0.259,226,256,0.883,103,272,375,98,104,48,17,44,154,1,647,-168,4,0
2732,Ben Gordon,1610612741,CHI,22.0,82,0.573,2013.0933333333332,434,1056,0.411,134,331,0.405,233,270,0.863,55,160,215,164,186,53,10,57,224,0,1235,147,0,0
1112,Ben Wallace,1610612765,DET,30.0,74,0.689,2673.775,295,651,0.453,1,9,0.111,130,304,0.428,292,610,902,123,82,106,176,49,159,1,721,343,29,0
