player_id,player_name,team_id,team_abbreviation,age,gp,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,dd2,td3
201143,Al Horford,1610612737,ATL,27.0,74,0.568,2756.445,576,1060,0.543,3,6,0.5,134,208,0.644,195,562,757,240,147,78,78,40,163,195,1289,164,43,0
2744,Al Jefferson,1610612762,UTA,28.0,78,0.526,2578.1283333333336,611,1236,0.494,2,17,0.118,167,217,0.77,156,564,720,164,105,80,89,84,170,180,1391,-159,37,0
202329,Al-Farouq Aminu,1610612740,NOH,22.0,76,0.329,2066.1033333333335,225,474,0.475,4,19,0.211,101,137,0.737,139,446,585,103,116,92,51,38,153,101,555,-76,10,0
101187,Alan Anderson,1610612761,TOR,30.0,65,0.477,1495.0116666666668,236,616,0.383,95,285,0.333,126,147,0.857,34,114,148,103,80,48,7,30,131,155,693,-80,0,0
202692,Alec Burks,1610612762,UTA,21.0,64,0.5,1136.6033333333332,163,388,0.42,33,92,0.359,92,129,0.713,37,108,145,92,74,35,13,35,114,123,451,99,0,0
203144,Alexey Shved,1610612750,MIN,24.0,77,0.39,1839.5283333333336,236,635,0.372,85,288,0.295,108,150,0.72,41,134,175,286,147,54,27,38,117,140,665,-78,2,0
202087,Alonzo Gee,1610612739,CLE,26.0,82,0.293,2540.5316666666668,305,744,0.41,69,219,0.315,163,205,0.795,75,245,320,133,132,107,29,78,199,143,842,-350,2,0
101161,Amir Johnson,1610612761,TOR,26.0,81,0.42,2324.81,336,606,0.554,5,13,0.385,136,187,0.727,227,384,611,122,117,81,110,35,301,175,813,213,15,0
101154,Andray Blatche,1610612751,BKN,26.0,82,0.598,1555.1783333333333,346,676,0.512,3,22,0.136,148,216,0.685,161,256,417,85,123,86,54,63,163,195,843,-25,7,0
203083,Andre Drummond,1610612765,DET,19.0,60,0.383,1242.69,208,342,0.608,1,2,0.5,59,159,0.371,169,288,457,30,57,59,95,27,144,123,476,-50,9,0
2738,Andre Iguodala,1610612743,DEN,29.0,80,0.713,2778.8883333333333,396,879,0.451,91,287,0.317,155,270,0.574,82,341,423,433,206,139,52,30,127,221,1038,380,10,1
1889,Andre Miller,1610612743,DEN,37.0,82,0.695,2151.2883333333334,303,632,0.479,17,64,0.266,163,194,0.84,60,178,238,484,172,73,11,68,159,189,786,209,4,0
1905,Andrei Kirilenko,1610612750,MIN,32.0,64,0.406,2033.8866666666668,284,560,0.507,35,120,0.292,188,250,0.752,102,260,362,177,119,96,62,33,82,203,791,-27,7,0
203094,Andrew Nicholson,1610612753,ORL,23.0,75,0.24,1249.4083333333333,256,486,0.527,0,0,0.0,75,94,0.798,69,189,258,44,79,24,32,21,133,90,587,-157,2,0
1712,Antawn Jamison,1610612747,LAL,37.0,76,0.539,1635.5916666666667,267,575,0.464,84,233,0.361,94,136,0.691,109,253,362,50,53,30,22,28,124,116,712,16,5,0
203076,Anthony Davis,1610612740,NOH,20.0,64,0.359,1845.9516666666664,349,676,0.516,0,6,0.0,169,225,0.751,165,357,522,63,89,75,112,47,158,202,867,-154,20,0
201229,Anthony Tolliver,1610612737,ATL,28.0,62,0.452,963.16,82,216,0.38,45,133,0.338,44,51,0.863,31,124,155,32,36,15,12,9,66,44,253,-63,0,0
201167,Arron Afflalo,1610612753,ORL,27.0,64,0.281,2306.65,397,905,0.439,72,240,0.3,191,223,0.857,29,210,239,206,138,40,11,59,137,188,1057,-321,0,0
203085,Austin Rivers,1610612740,NOH,20.0,61,0.344,1417.55,145,390,0.372,28,86,0.326,59,108,0.546,16,93,109,127,74,26,9,53,122,105,377,-158,0,0
