player_id,player_name,team_id,team_abbreviation,age,gp,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,dd2,td3
243,Aaron McKie,1610612755,PHI,30.0,80,0.588,2377.64,286,666,0.429,37,112,0.33,112,134,0.836,61,289,350,278,109,131,9,72,177,1,721,204,1,0
1425,Aaron Williams,1610612751,NJN,31.0,81,0.605,1601.378333333333,199,439,0.453,0,1,0.0,102,130,0.785,137,194,331,88,85,27,57,46,206,0,500,52,1,0
1502,Adonal Foyle,1610612744,GSW,28.0,82,0.463,1786.2066666666667,185,345,0.536,0,1,0.0,70,104,0.673,176,314,490,37,73,40,205,24,214,0,440,72,4,0
1559,Adrian Griffin,1610612742,DAL,28.0,74,0.757,1369.8666666666666,146,337,0.433,6,24,0.25,27,32,0.844,88,176,264,105,47,77,6,16,157,0,325,185,0,0
1733,Al Harrington,1610612754,IND,23.0,82,0.585,2467.776666666666,389,896,0.434,13,46,0.283,211,274,0.77,159,352,511,125,163,71,33,83,280,2,1002,154,10,0
673,Alan Henderson,1610612737,ATL,30.0,82,0.427,1493.645,153,327,0.468,0,2,0.0,88,138,0.638,156,242,398,41,61,33,32,22,168,2,394,-212,2,0
275,Allan Houston,1610612752,NYK,32.0,82,0.451,3109.7933333333335,652,1465,0.445,178,450,0.396,363,395,0.919,26,205,231,220,178,54,7,50,191,0,1845,-31,0,0
947,Allen Iverson,1610612755,PHI,28.0,82,0.585,3484.07,804,1940,0.414,84,303,0.277,570,736,0.774,68,276,344,454,286,225,13,96,149,0,2262,184,6,0
1541,Alvin Williams,1610612761,TOR,28.0,78,0.308,2642.346666666667,396,905,0.438,48,146,0.329,187,239,0.782,55,190,245,416,128,111,21,35,170,0,1027,-255,2,0
2405,Amar'e Stoudemire,1610612756,PHX,20.0,82,0.537,2569.9383333333335,392,830,0.472,2,10,0.2,320,484,0.661,250,471,721,78,189,62,87,104,269,3,1106,8,25,0
1889,Andre Miller,1610612746,LAC,27.0,80,0.338,2913.2283333333335,377,928,0.406,23,108,0.213,311,391,0.795,84,232,316,537,206,99,11,72,203,0,1088,-293,12,1
1905,Andrei Kirilenko,1610612762,UTA,22.0,80,0.575,2214.185,315,642,0.491,37,114,0.325,296,370,0.8,147,273,420,138,136,118,175,36,185,0,963,94,4,0
692,Andrew DeClercq,1610612753,ORL,30.0,77,0.494,1329.6083333333331,149,279,0.534,0,0,0.0,67,104,0.644,142,197,339,52,84,39,36,37,258,3,365,104,1,0
358,Anfernee Hardaway,1610612756,PHX,31.0,58,0.586,1776.82,256,573,0.447,26,73,0.356,77,97,0.794,66,192,258,235,145,66,26,26,150,0,615,22,5,1
1712,Antawn Jamison,1610612744,GSW,27.0,82,0.463,3229.3083333333334,691,1471,0.47,65,209,0.311,375,475,0.789,195,383,578,156,177,76,45,64,197,0,1822,-111,18,0
1533,Anthony Johnson,1610612751,NJN,28.0,66,0.621,842.83,103,231,0.446,13,35,0.371,51,74,0.689,13,65,78,86,41,37,5,15,93,0,270,11,0,0
193,Anthony Mason,1610612749,MIL,36.0,65,0.508,2117.4533333333334,191,393,0.486,0,1,0.0,84,117,0.718,90,326,416,209,79,32,12,35,147,0,466,-154,8,0
324,Anthony Peeler,1610612750,MIN,33.0,82,0.622,2243.258333333333,252,609,0.414,87,212,0.41,39,50,0.78,40,201,241,244,82,72,13,32,161,0,630,39,0,0
952,Antoine Walker,1610612738,BOS,26.0,78,0.538,3235.3683333333333,603,1554,0.388,188,582,0.323,176,286,0.615,99,464,563,373,260,116,31,88,221,1,1570,84,17,2
1498,Antonio Daniels,1610612757,POR,28.0,67,0.582,870.5766666666667,84,186,0.452,18,59,0.305,65,76,0.855,11,61,72,85,32,33,9,12,43,0,251,-28,0,0
717,Arvydas Sabonis,1610612757,POR,38.0,78,0.615,1203.2933333333333,172,361,0.476,3,6,0.5,129,164,0.787,88,247,335,142,75,61,49,21,141,0,476,206,1,0
1112,Ben Wallace,1610612765,DET,28.0,73,0.616,2871.2516666666666,210,437,0.481,1,6,0.167,85,189,0.45,293,833,1126,120,88,104,230,22,179,1,506,221,17,1
448,Bo Outlaw,1610612756,PHX,32.0,80,0.538,1800.235,153,278,0.55,0,2,0.0,72,116,0.621,134,234,368,112,76,50,71,25,194,3,378,160,1,0
1517,Bobby Jackson,1610612758,SAC,30.0,59,0.763,1672.9066666666668,340,732,0.464,89,235,0.379,126,149,0.846,57,162,219,182,106,71,3,38,126,0,895,172,2,0
