player_id,player_name,team_id,team_abbreviation,age,gp,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,dd2,td3
1425,Aaron Williams,1610612751,NJN,30.0,82,0.634,1549.9183333333333,231,439,0.526,0,2,0.0,130,186,0.699,115,224,339,77,79,29,76,45,212,0,592,122,0,0
1502,Adonal Foyle,1610612744,GSW,27.0,79,0.241,1485.29,171,385,0.444,0,0,0.0,37,93,0.398,150,234,384,41,76,36,168,29,179,1,379,-205,3,0
1559,Adrian Griffin,1610612742,DAL,27.0,58,0.69,1386.62,179,359,0.499,16,54,0.296,41,49,0.837,68,161,229,106,42,75,12,25,142,0,415,148,0,0
275,Allan Houston,1610612752,NYK,31.0,77,0.364,2915.17,568,1301,0.437,136,346,0.393,295,339,0.87,37,215,252,190,170,54,10,50,182,0,1567,-349,1,0
947,Allen Iverson,1610612755,PHI,27.0,60,0.6,2624.165,665,1669,0.398,78,268,0.291,475,585,0.812,44,225,269,331,237,168,13,93,102,1,1883,283,4,1
297,Alonzo Mourning,1610612748,MIA,32.0,75,0.453,2453.223333333334,447,866,0.516,1,3,0.333,283,431,0.657,182,450,632,87,182,27,186,61,258,3,1178,51,26,0
1541,Alvin Williams,1610612761,TOR,27.0,82,0.512,2932.87,403,971,0.415,62,193,0.321,103,140,0.736,58,223,281,468,150,135,26,33,191,0,971,-29,2,0
1889,Andre Miller,1610612739,CLE,26.0,81,0.358,3019.3316666666665,474,1045,0.454,22,87,0.253,365,447,0.817,108,271,379,882,245,126,34,91,228,1,1335,-104,43,3
1905,Andrei Kirilenko,1610612762,UTA,21.0,82,0.537,2153.6133333333332,285,633,0.45,25,100,0.25,285,371,0.768,149,253,402,94,108,116,159,60,156,0,880,348,3,0
692,Andrew DeClercq,1610612753,ORL,29.0,61,0.508,634.5433333333333,67,149,0.45,0,0,0.0,28,50,0.56,74,89,163,22,34,23,23,21,130,1,162,-14,0,0
358,Anfernee Hardaway,1610612756,PHX,30.0,80,0.438,2464.8733333333334,389,931,0.418,23,83,0.277,158,195,0.81,98,252,350,324,189,122,32,63,184,0,959,-67,5,1
1712,Antawn Jamison,1610612744,GSW,26.0,82,0.256,3033.31,614,1375,0.447,68,210,0.324,323,440,0.734,211,345,556,161,161,70,45,80,187,1,1619,-371,16,0
193,Anthony Mason,1610612749,MIL,35.0,82,0.5,3139.7433333333333,316,626,0.505,1,1,1.0,154,221,0.697,124,522,646,346,130,57,22,63,187,0,787,13,10,0
324,Anthony Peeler,1610612750,MIN,32.0,82,0.61,2060.391666666667,288,684,0.421,111,283,0.392,50,58,0.862,37,169,206,177,76,61,11,22,137,1,737,17,0,0
952,Antoine Walker,1610612738,BOS,25.0,81,0.593,3406.435,666,1689,0.394,222,645,0.344,240,324,0.741,150,564,714,407,251,122,38,125,237,0,1794,240,29,2
1498,Antonio Daniels,1610612759,SAS,27.0,82,0.707,2169.815,269,612,0.44,57,196,0.291,158,210,0.752,23,153,176,228,70,48,12,27,104,0,753,263,0,0
213,Antonio Davis,1610612761,TOR,33.0,77,0.532,2976.945,410,963,0.426,0,1,0.0,293,358,0.818,254,486,740,155,159,54,83,85,225,6,1113,-9,33,0
1609,Art Long,1610612760,SEA,29.0,63,0.587,988.665,120,244,0.492,0,0,0.0,45,85,0.529,107,144,251,41,63,22,28,20,180,1,285,-24,3,0
1506,Austin Croshere,1610612754,IND,27.0,76,0.513,1282.7233333333334,185,448,0.413,49,145,0.338,97,114,0.851,74,220,294,77,67,26,29,26,106,0,516,58,4,0
422,Avery Johnson,1610612742,DAL,37.0,68,0.397,1353.5183333333334,207,432,0.479,0,5,0.0,121,163,0.742,14,55,69,286,76,40,9,45,86,0,535,-157,6,0
1884,Baron Davis,1610612766,CHH,23.0,82,0.537,3319.765,559,1341,0.417,170,478,0.356,196,338,0.58,93,256,349,698,246,172,47,63,241,0,1484,150,29,1
1112,Ben Wallace,1610612765,DET,27.0,80,0.613,2918.931666666667,255,480,0.531,0,3,0.0,99,234,0.423,318,721,1039,115,70,138,278,37,178,0,609,148,25,1
448,Bo Outlaw,1610612756,PHX,31.0,83,0.446,1928.595,166,299,0.555,1,2,0.5,43,102,0.422,147,217,364,127,96,70,92,42,205,5,376,54,0,0
682,Bob Sura,1610612744,GSW,29.0,78,0.256,1783.746666666667,250,590,0.424,42,133,0.316,236,328,0.72,89,167,256,275,133,88,17,42,160,0,778,-165,1,0
1517,Bobby Jackson,1610612758,SAC,29.0,81,0.753,1752.7916666666667,334,754,0.443,79,219,0.361,149,184,0.81,82,169,251,164,93,73,11,38,145,0,896,296,0,0
1719,Bonzi Wells,1610612757,POR,25.0,74,0.595,2350.475,487,1039,0.469,66,172,0.384,215,290,0.741,121,323,444,204,191,113,25,62,208,0,1255,176,7,0
1802,Brad Miller,1610612754,IND,26.0,76,0.368,2264.075,366,733,0.499,3,7,0.429,297,383,0.775,252,369,621,152,115,76,41,111,244,5,1032,-182,19,0
2217,Brendan Haywood,1610612764,WAS,22.0,62,0.516,1266.54,109,221,0.493,0,0,0.0,97,160,0.606,143,179,322,29,50,21,91,29,158,1,315,-57,2,0
699,Brent Barry,1610612760,SEA,30.0,81,0.543,3038.235,401,790,0.508,164,387,0.424,198,234,0.846,58,383,441,426,165,147,37,32,182,0,1164,199,8,0
258,Brian Grant,1610612748,MIA,30.0,72,0.486,2256.3783333333336,286,610,0.469,0,2,0.0,101,119,0.849,168,407,575,137,122,48,31,56,236,1,673,-70,17,0
216,Brian Shaw,1610612747,LAL,36.0,58,0.69,628.1316666666667,61,173,0.353,29,88,0.33,18,26,0.692,19,93,112,89,32,25,3,7,43,0,169,97,0,0
1730,Brian Skinner,1610612739,CLE,26.0,65,0.323,1107.878333333333,88,162,0.543,0,0,0.0,48,79,0.608,93,188,281,17,42,24,61,27,130,2,224,-37,2,0
1477,Bruce Bowen,1610612759,SAS,31.0,59,0.797,1699.02,155,398,0.389,56,148,0.378,46,96,0.479,42,120,162,88,66,62,25,20,116,2,412,278,0,0
1724,Bryce Drew,1610612766,CHH,27.0,61,0.475,771.6733333333333,78,182,0.429,31,73,0.425,23,29,0.793,14,58,72,101,33,32,2,5,49,0,210,29,0,0
935,Bryon Russell,1610612762,UTA,31.0,66,0.545,1998.4616666666664,222,584,0.38,77,226,0.341,115,140,0.821,79,216,295,136,110,64,19,31,205,1,636,174,0,0
384,Calbert Cheaney,1610612743,DEN,30.0,68,0.294,1637.3733333333332,224,466,0.481,0,4,0.0,46,67,0.687,57,183,240,110,70,34,21,37,156,2,494,-329,1,0
1520,Charles Smith,1610612759,SAS,26.0,60,0.75,1143.4166666666667,182,428,0.425,35,131,0.267,42,65,0.646,34,99,133,80,59,52,44,37,114,0,441,-21,0,0
369,Charlie Ward,1610612752,NYK,31.0,63,0.302,1057.48,113,303,0.373,53,164,0.323,47,58,0.81,15,112,127,203,75,68,14,5,100,0,326,-26,1,0
1497,Chauncey Billups,1610612750,MIN,25.0,82,0.61,2355.935,348,823,0.423,124,315,0.394,207,234,0.885,35,191,226,450,138,66,17,44,169,0,1027,173,8,1
164,Chris Childs,1610612761,TOR,34.0,69,0.493,1578.878333333333,97,296,0.328,33,120,0.275,58,71,0.817,18,136,154,351,123,56,5,17,177,0,285,-33,0,0
2036,Chris Mihm,1610612739,CLE,22.0,74,0.351,1657.5816666666667,221,526,0.42,3,7,0.429,124,179,0.693,133,259,392,24,97,18,89,50,260,1,569,-255,5,0
