player_id,player_name,team_id,team_abbreviation,age,gp,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,dd2,td3
201166,Aaron Brooks,1610612756,PHX,26.0,59,0.441,1284.131666666667,220,587,0.375,70,236,0.297,124,140,0.886,20,58,78,233,99,34,3,42,115,126,634,-165,2,0
1733,Al Harrington,1610612743,DEN,31.0,73,0.616,1664.5483333333334,281,675,0.416,117,328,0.357,86,117,0.735,76,256,332,101,106,39,10,43,202,112,765,129,1,0
201143,Al Horford,1610612737,ATL,25.0,77,0.532,2703.7066666666665,513,921,0.557,2,4,0.5,150,188,0.798,182,536,718,266,119,59,80,36,193,174,1178,44,36,0
2744,Al Jefferson,1610612762,UTA,26.0,82,0.476,2940.4133333333334,654,1319,0.496,0,0,0.0,220,289,0.761,235,559,794,149,105,46,153,91,238,254,1528,-168,37,0
201154,Al Thornton,1610612744,GSW,27.0,71,0.296,1383.5916666666667,205,431,0.476,4,26,0.154,110,142,0.775,56,157,213,62,64,35,12,24,143,111,524,-145,0,0
202329,Al-Farouq Aminu,1610612746,LAC,20.0,81,0.383,1451.835,160,406,0.394,45,143,0.315,92,119,0.773,75,192,267,60,103,59,25,37,121,92,457,-184,0,0
2405,Amar'e Stoudemire,1610612752,NYK,28.0,78,0.5,2870.0116666666668,744,1482,0.502,10,23,0.435,473,597,0.792,198,438,636,202,250,71,150,120,274,473,1971,61,26,0
101161,Amir Johnson,1610612761,TOR,24.0,72,0.278,1852.6516666666664,281,495,0.568,0,1,0.0,126,160,0.788,189,272,461,81,69,53,88,48,263,156,688,-126,11,0
101154,Andray Blatche,1610612764,WAS,24.0,64,0.328,2171.931666666667,426,957,0.445,4,18,0.222,220,283,0.777,183,343,526,144,172,98,51,79,182,228,1076,-242,17,0
2738,Andre Iguodala,1610612755,PHI,27.0,67,0.537,2468.6883333333335,338,759,0.445,61,181,0.337,208,300,0.693,61,326,387,422,138,101,38,23,109,247,945,164,11,3
1889,Andre Miller,1610612757,POR,35.0,81,0.58,2649.72,388,844,0.46,4,37,0.108,249,292,0.853,97,205,302,566,197,114,12,60,171,227,1029,254,11,0
200745,Andrea Bargnani,1610612761,TOR,25.0,66,0.288,2353.048333333333,525,1173,0.448,77,223,0.345,287,350,0.82,74,269,343,119,152,34,46,49,160,295,1414,-316,2,0
1905,Andrei Kirilenko,1610612762,UTA,30.0,64,0.516,1998.9833333333331,253,542,0.467,36,98,0.367,208,270,0.77,100,227,327,192,117,81,74,36,113,200,750,-33,4,0
101106,Andrew Bogut,1610612749,MIL,26.0,65,0.431,2297.3733333333334,367,742,0.495,0,4,0.0,96,217,0.442,199,521,720,131,125,47,168,36,217,243,830,10,24,0
2740,Andris Biedrins,1610612744,GSW,25.0,59,0.441,1397.09,142,266,0.534,0,0,0.0,10,31,0.323,145,281,426,60,57,52,52,14,198,54,294,-234,3,0
201627,Anthony Morrow,1610612751,NJN,25.0,58,0.293,1856.4266666666667,279,620,0.45,110,260,0.423,96,107,0.897,37,135,172,68,54,19,7,24,135,77,764,-120,0,0
1515,Anthony Parker,1610612739,CLE,36.0,72,0.25,2091.18,220,552,0.399,86,227,0.379,74,95,0.779,33,185,218,218,80,67,10,16,109,107,600,-299,0,0
201229,Anthony Tolliver,1610612750,MIN,26.0,65,0.185,1362.415,141,313,0.45,47,115,0.409,105,131,0.802,92,203,295,82,49,28,28,18,145,140,434,-80,3,0
686,Antonio McDyess,1610612759,SAS,36.0,73,0.74,1386.4616666666666,169,344,0.491,0,1,0.0,52,77,0.675,122,273,395,84,72,36,39,9,163,76,390,134,5,0
201167,Arron Afflalo,1610612743,DEN,25.0,69,0.58,2324.2933333333335,312,627,0.498,105,248,0.423,138,163,0.847,45,206,251,168,71,34,31,39,153,116,867,158,3,0
201948,Austin Daye,1610612765,DET,23.0,72,0.361,1446.115,193,471,0.41,69,172,0.401,82,108,0.759,64,210,274,78,59,39,39,22,165,95,537,-133,0,0
1884,Baron Davis,1610612739,CLE,32.0,58,0.414,1649.2883333333334,289,693,0.417,81,239,0.339,101,131,0.771,35,121,156,391,146,78,28,32,143,107,760,-12,7,0
2732,Ben Gordon,1610612765,DET,28.0,82,0.366,2130.86,339,770,0.44,107,266,0.402,136,160,0.85,41,154,195,171,141,48,16,30,178,132,921,-116,0,0
2757,Beno Udrih,1610612758,SAC,28.0,79,0.304,2733.5133333333333,412,824,0.5,65,182,0.357,197,228,0.864,41,224,265,386,141,94,9,36,181,201,1086,-272,4,0
201933,Blake Griffin,1610612746,LAC,22.0,82,0.39,3111.473333333334,696,1376,0.506,7,24,0.292,446,695,0.642,270,719,989,312,223,63,45,93,252,615,1845,-147,63,2
2564,Boris Diaw,1610612766,CHA,29.0,82,0.415,2778.275,381,774,0.492,78,226,0.345,84,123,0.683,105,309,414,337,166,74,46,30,190,138,924,-238,5,1
1802,Brad Miller,1610612745,HOU,35.0,60,0.533,1015.4266666666666,132,296,0.446,40,107,0.374,78,94,0.83,44,178,222,145,54,28,21,21,98,95,382,43,1,0
101138,Brandon Bass,1610612753,ORL,26.0,76,0.645,1980.195,332,645,0.515,0,2,0.0,190,233,0.815,134,290,424,57,97,27,52,47,159,162,854,157,3,0
201943,Brandon Jennings,1610612749,MIL,21.0,63,0.429,2168.64,361,926,0.39,98,303,0.323,199,246,0.809,42,192,234,305,146,95,21,51,131,188,1019,-70,6,1
201575,Brandon Rush,1610612754,IND,25.0,67,0.403,1753.881666666667,217,515,0.421,93,223,0.417,80,106,0.755,33,184,217,62,69,41,35,34,107,80,607,-209,0,0
2217,Brendan Haywood,1610612742,DAL,31.0,72,0.694,1331.365,128,223,0.574,0,1,0.0,64,177,0.362,129,247,376,19,51,16,74,26,146,145,320,-12,2,0
201572,Brook Lopez,1610612751,NJN,23.0,82,0.293,2888.755,644,1309,0.492,0,1,0.0,385,489,0.787,197,291,488,129,176,47,120,82,240,366,1673,-315,9,0
201228,C.J. Watson,1610612741,CHI,27.0,82,0.756,1090.7333333333331,146,394,0.371,44,112,0.393,69,93,0.742,16,78,94,186,73,55,11,25,82,100,405,140,0,0
101139,CJ Miles,1610612762,UTA,24.0,78,0.462,1968.618333333333,366,899,0.407,109,339,0.322,159,196,0.811,54,201,255,135,93,74,38,46,221,160,1000,55,0,0
201171,Carl Landry,1610612740,NOH,27.0,76,0.329,2007.895,345,687,0.502,0,4,0.0,213,288,0.74,165,182,347,63,109,40,32,54,196,242,903,-164,8,0
