Team,Year,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20
CHO,2021,Lg Rank,,19,22,20,22,10,9,14,26,23,22,26,24,21,6,25,19,5,10,16,24,5,23
CHO,2021,Year/Year,,-0.5%,7.0%,2.2%,+.020,13.3%,7.9%,+.018,4.0%,-1.6%,+.028,-1.7%,-3.4%,+.013,-3.8%,4.4%,2.3%,12.7%,19.2%,15.9%,1.7%,-4.2%,6.4%
CHO,2021,Opponent,72,17355,2972,6346,.468,1042,2847,.366,1930,3499,.552,1034,1387,.745,766,2487,3253,1951,582,347,1062,1340,8020
CHO,2021,Opponent/G,,241.0,41.3,88.1,.468,14.5,39.5,.366,26.8,48.6,.552,14.4,19.3,.745,10.6,34.5,45.2,27.1,8.1,4.8,14.8,18.6,111.4
CHO,2021,Lg Rank,,19,15,14,17,28,30,17,4,3,30,1,3,1,27,18,19,30,24,14,9,21,13
CHO,2021,Year/Year,,-0.5%,-0.9%,0.7%,-.008,17.1%,12.8%,+.014,-8.5%,-7.4%,-.007,2.9%,4.6%,-.012,-2.7%,-1.4%,-1.7%,1.7%,0.5%,-4.5%,2.5%,-9.5%,1.6%
CHI,2021,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
CHI,2021,Team,72,17380,3035,6380,.476,904,2446,.370,2131,3934,.542,995,1258,.791,693,2544,3237,1927,482,304,1089,1362,7969
CHI,2021,Team/G,,241.4,42.2,88.6,.476,12.6,34.0,.370,29.6,54.6,.542,13.8,17.5,.791,9.6,35.3,45.0,26.8,6.7,4.2,15.1,18.9,110.7
CHI,2021,Lg Rank,,16,10,14,9,16,17,13,11,14,10,30,30,11,19,8,11,8,28,27,27,10,21
CHI,2021,Year/Year,,0.1%,6.5%,-0.0%,+.029,2.9%,-3.2%,+.022,8.1%,2.1%,+.030,-10.7%,-14.7%,+.036,-8.0%,12.5%,7.4%,15.2%,-33.3%,3.6%,-2.2%,-13.2%,3.6%
CHI,2021,Opponent,72,17380,2983,6313,.473,829,2328,.356,2154,3985,.541,1238,1600,.774,624,2410,3034,1737,614,364,917,1277,8033
CHI,2021,Opponent/G,,241.4,41.4,87.7,.473,11.5,32.3,.356,29.9,55.3,.541,17.2,22.2,.774,8.7,33.5,42.1,24.1,8.5,5.1,12.7,17.7,111.6
CHI,2021,Lg Rank,,16,17,13,23,5,5,7,24,23,23,18,18,10,1,12,5,10,29,18,24,30,14
