player_id,player_name,team_id,team_abbreviation,age,gp,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,dd2,td3
201166,Aaron Brooks,1610612745,HOU,24.0,80,0.65,1998.17,316,783,0.404,113,309,0.366,149,172,0.866,33,124,157,238,125,46,8,55,152,152,894,170,2,0
1733,Al Harrington,1610612752,NYK,29.0,73,0.37,2546.4616666666666,532,1212,0.439,171,470,0.364,234,295,0.793,99,356,455,102,161,88,22,78,227,265,1469,-73,10,0
201143,Al Horford,1610612737,ATL,23.0,67,0.612,2242.2116666666666,312,594,0.525,0,1,0.0,149,205,0.727,145,479,624,163,103,53,95,30,190,166,773,16,20,0
201154,Al Thornton,1610612746,LAC,25.0,71,0.225,2654.05,469,1051,0.446,20,79,0.253,236,313,0.754,122,246,368,103,130,59,62,70,227,268,1194,-565,1,0
101161,Amir Johnson,1610612765,DET,22.0,62,0.435,910.9966666666668,97,163,0.595,0,0,0.0,23,35,0.657,102,130,232,20,33,20,60,16,171,54,217,70,2,0
2760,Anderson Varejao,1610612739,CLE,26.0,81,0.802,2305.795,270,504,0.536,0,2,0.0,154,250,0.616,166,415,581,81,80,75,66,36,239,247,694,440,9,0
101154,Andray Blatche,1610612764,WAS,22.0,71,0.239,1702.9383333333333,297,630,0.471,5,21,0.238,114,162,0.704,126,252,378,118,117,53,74,58,211,135,713,-198,7,0
2738,Andre Iguodala,1610612755,PHI,25.0,82,0.5,3268.97,542,1147,0.473,80,261,0.307,377,521,0.724,92,379,471,434,222,131,36,38,152,394,1541,124,11,0
1889,Andre Miller,1610612755,PHI,33.0,82,0.5,2976.225,492,1041,0.473,15,53,0.283,338,409,0.826,123,245,368,534,199,109,14,78,196,301,1337,111,12,2
200745,Andrea Bargnani,1610612761,TOR,23.0,78,0.385,2453.3566666666666,431,958,0.45,119,291,0.409,221,266,0.831,70,346,416,94,135,34,97,41,242,249,1202,-248,6,0
1905,Andrei Kirilenko,1610612762,UTA,28.0,67,0.627,1831.0733333333333,256,570,0.449,20,73,0.274,244,311,0.785,84,235,319,175,121,83,77,37,127,239,776,265,6,0
2804,Andres Nocioni,1610612758,SAC,29.0,76,0.355,1991.6166666666663,299,701,0.427,124,311,0.399,145,183,0.792,54,307,361,102,113,39,33,35,261,167,867,0,3,0
2740,Andris Biedrins,1610612744,GSW,23.0,62,0.323,1863.0433333333333,308,533,0.578,0,1,0.0,119,216,0.551,223,470,693,121,110,63,96,47,236,188,735,-185,28,0
1712,Antawn Jamison,1610612764,WAS,33.0,81,0.235,3095.71,674,1441,0.468,112,319,0.351,341,452,0.754,196,525,721,153,125,95,25,63,218,367,1801,-480,38,0
1853,Anthony Carter,1610612743,DEN,34.0,78,0.679,1786.5766666666666,167,386,0.433,21,88,0.239,57,78,0.731,40,165,205,364,155,96,13,14,142,75,412,69,0,0
1533,Anthony Johnson,1610612753,ORL,34.0,80,0.725,1481.0216666666668,154,381,0.404,52,133,0.391,61,81,0.753,29,118,147,200,82,46,5,17,111,78,421,111,0,0
201627,Anthony Morrow,1610612744,GSW,23.0,67,0.343,1515.2983333333334,255,534,0.478,86,184,0.467,80,92,0.87,78,121,199,80,52,36,12,23,130,75,676,-56,2,0
1515,Anthony Parker,1610612761,TOR,34.0,80,0.388,2636.47,321,754,0.426,94,241,0.39,121,145,0.834,45,272,317,269,114,100,15,31,145,146,857,-91,0,0
201576,Anthony Randolph,1610612744,GSW,19.0,63,0.333,1129.1266666666668,199,431,0.462,0,4,0.0,101,141,0.716,128,235,363,49,80,42,74,35,141,118,499,-94,8,0
101120,Antoine Wright,1610612742,DAL,25.0,65,0.585,1551.8733333333332,179,431,0.415,45,149,0.302,71,95,0.747,31,105,136,77,54,46,27,31,172,83,474,54,0,0
1498,Antonio Daniels,1610612740,NOH,34.0,74,0.541,1020.7983333333332,99,236,0.419,22,60,0.367,80,100,0.8,5,72,77,177,62,26,1,13,55,104,300,-215,0,0
686,Antonio McDyess,1610612765,DET,34.0,62,0.452,1866.1616666666664,268,525,0.51,0,0,0.0,60,86,0.698,185,422,607,83,51,41,50,10,191,110,596,-69,16,0
201167,Arron Afflalo,1610612765,DET,23.0,74,0.486,1233.825,131,300,0.437,43,107,0.402,58,71,0.817,30,104,134,44,43,28,13,14,144,43,363,-40,0,0
1884,Baron Davis,1610612746,LAC,30.0,65,0.262,2248.348333333334,355,959,0.37,99,328,0.302,159,210,0.757,46,192,238,501,193,108,35,57,193,182,968,-353,13,0
2732,Ben Gordon,1610612741,CHI,26.0,82,0.5,2998.97,598,1315,0.455,173,422,0.41,330,382,0.864,52,231,283,279,200,71,22,69,184,286,1699,24,0,0
2757,Beno Udrih,1610612758,SAC,26.0,73,0.192,2270.06,321,696,0.461,35,113,0.31,123,150,0.82,46,174,220,342,158,81,12,29,192,142,800,-361,1,0
201628,Bobby Brown,1610612750,MIN,24.0,68,0.191,931.4816666666668,141,360,0.392,45,130,0.346,34,43,0.791,14,38,52,117,63,21,3,17,95,55,361,-197,0,0
1517,Bobby Jackson,1610612758,SAC,36.0,71,0.225,1484.125,193,485,0.398,60,197,0.305,86,101,0.851,42,158,200,143,66,62,4,9,100,98,532,-187,2,0
2250,Bobby Simmons,1610612751,NJN,29.0,71,0.423,1729.2416666666666,198,441,0.449,117,262,0.447,43,58,0.741,72,205,277,92,62,50,10,16,186,67,556,12,1,0
2564,Boris Diaw,1610612766,CHA,27.0,81,0.506,2753.79,448,884,0.507,75,181,0.414,101,147,0.687,118,314,432,333,215,61,53,44,202,164,1072,74,8,0
1802,Brad Miller,1610612741,CHI,33.0,70,0.357,2100.151666666666,292,614,0.476,23,56,0.411,224,272,0.824,150,395,545,234,130,52,36,56,223,257,831,-128,16,0
101138,Brandon Bass,1610612742,DAL,24.0,81,0.605,1574.33,252,508,0.496,0,6,0.0,182,210,0.867,129,238,367,43,86,27,55,51,140,160,686,76,4,0
200750,Brandon Roy,1610612757,POR,24.0,78,0.667,2903.315,633,1318,0.48,83,220,0.377,416,505,0.824,104,266,370,400,152,88,22,51,127,410,1765,504,3,0
201575,Brandon Rush,1610612754,IND,23.0,75,0.44,1802.895,243,575,0.423,78,209,0.373,46,66,0.697,34,199,233,66,75,38,37,34,128,68,610,-179,2,0
1510,Brevin Knight,1610612762,UTA,33.0,74,0.581,937.6283333333332,66,189,0.349,0,6,0.0,48,64,0.75,13,75,88,190,66,68,4,13,98,79,180,80,0,0
2073,Brian Cardinal,1610612750,MIN,32.0,64,0.328,908.7766666666666,65,169,0.385,30,92,0.326,30,35,0.857,39,103,142,76,48,37,13,9,135,61,190,11,0,0
201572,Brook Lopez,1610612751,NJN,21.0,82,0.415,2501.401666666666,448,844,0.531,0,2,0.0,172,217,0.793,225,440,665,86,147,44,151,74,257,192,1068,-103,18,0
1477,Bruce Bowen,1610612759,SAS,38.0,80,0.675,1505.8633333333332,79,187,0.422,42,98,0.429,14,26,0.538,16,129,145,40,25,36,13,8,123,53,214,-34,0,0
201228,C.J. Watson,1610612744,GSW,25.0,77,0.325,1883.11,257,562,0.457,48,120,0.4,168,193,0.87,39,153,192,206,92,96,4,27,137,186,730,-93,1,0
101139,CJ Miles,1610612762,UTA,22.0,72,0.583,1622.66,258,562,0.459,63,179,0.352,78,89,0.876,45,122,167,107,64,46,15,25,187,80,657,18,1,0
201171,Carl Landry,1610612745,HOU,25.0,69,0.638,1466.7583333333334,240,418,0.574,1,3,0.333,157,193,0.813,124,219,343,39,68,26,31,42,166,155,638,34,2,0
2546,Carmelo Anthony,1610612743,DEN,25.0,66,0.682,2277.0866666666666,535,1207,0.443,63,170,0.371,371,468,0.793,106,344,450,222,199,75,24,82,195,357,1504,304,12,0
2406,Caron Butler,1610612764,WAS,29.0,67,0.224,2584.8616666666667,491,1085,0.453,65,210,0.31,345,402,0.858,118,296,414,290,210,106,20,68,165,300,1392,-379,11,0
101112,Channing Frye,1610612757,POR,26.0,63,0.635,745.69,113,267,0.423,11,33,0.333,26,36,0.722,41,99,140,24,29,17,16,5,106,39,263,-121,0,0
2294,Charlie Bell,1610612749,MIL,30.0,70,0.414,1782.5283333333334,217,524,0.414,87,240,0.363,66,80,0.825,32,102,134,151,76,50,7,21,138,96,587,-115,0,0
101111,Charlie Villanueva,1610612749,MIL,24.0,78,0.423,2094.8716666666664,487,1089,0.447,89,258,0.345,201,240,0.838,154,366,520,137,138,50,56,48,254,198,1264,-69,14,0
